year,week,region,cases
1997,4,Tahoua,74
1997,4,Tillaberi,18
1997,4,Zinder,243
1997,5,Agadez,0
1997,5,Diffa,0
1997,5,Dosso,13
1997,5,Maradi,393
1997,5,Niamey,7
1997,5,Tahoua,95
1997,5,Tillaberi,19
1997,5,Zinder,167
1997,6,Agadez,0
1997,6,Diffa,0
1997,6,Dosso,38
1997,6,Maradi,481
1997,6,Niamey,9
1997,6,Tahoua,70
1997,6,Tillaberi,34
1997,6,Zinder,159
1997,7,Agadez,0
1997,7,Diffa,0
1997,7,Dosso,32
1997,7,Maradi,416
1997,7,Niamey,12
1997,7,Tahoua,167
1997,7,Tillaberi,49
1997,7,Zinder,248
1997,8,Agadez,0
1997,8,Diffa,0
1997,8,Dosso,55
1997,8,Maradi,471
1997,8,Niamey,12
1997,8,Tahoua,207
1997,8,Tillaberi,70
1997,8,Zinder,215
1997,9,Agadez,0
1997,9,Diffa,2
1997,9,Dosso,72
1997,9,Maradi,552
1997,9,Niamey,12
1997,9,Tahoua,160
1997,9,Tillaberi,78
1997,9,Zinder,227
1997,10,Agadez,0
1997,10,Diffa,0
1997,10,Dosso,82
1997,10,Maradi,510
1997,10,Niamey,20
1997,10,Tahoua,301
1997,10,Tillaberi,145
1997,10,Zinder,227
1997,11,Agadez,0
1997,11,Diffa,0
1997,11,Dosso,17
1997,11,Maradi,504
1997,11,Niamey,55
1997,11,Tahoua,320
1997,11,Tillaberi,136
1997,11,Zinder,244
1997,12,Agadez,0
1997,12,Diffa,0
1997,12,Dosso,52
1997,12,Maradi,502
1997,12,Niamey,34
1997,12,Tahoua,345
1997,12,Tillaberi,135
1997,12,Zinder,212
1997,13,Agadez,2
1997,13,Diffa,0
1997,13,Dosso,64
1997,13,Maradi,495
1997,13,Niamey,55
1997,13,Tahoua,359
1997,13,Tillaberi,284
1997,13,Zinder,428
1997,14,Agadez,4
1997,14,Diffa,0
1997,14,Dosso,55
1997,14,Maradi,540
1997,14,Niamey,35
1997,14,Tahoua,394
1997,14,Tillaberi,256
1997,14,Zinder,249
1997,15,Agadez,7
1997,15,Diffa,0
1997,15,Dosso,67
1997,15,Maradi,507
1997,15,Niamey,40
1997,15,Tahoua,300
1997,15,Tillaberi,187
1997,15,Zinder,338
1997,16,Agadez,12
1997,16,Diffa,0
1997,16,Dosso,61
1997,16,Maradi,561
1997,16,Niamey,33
1997,16,Tahoua,292
1997,16,Tillaberi,213
1997,16,Zinder,372
1997,17,Agadez,10
1997,17,Diffa,0
1997,17,Dosso,73
1997,17,Maradi,634
1997,17,Niamey,43
1997,17,Tahoua,347
1997,17,Tillaberi,270
1997,17,Zinder,257
1997,18,Agadez,22
1997,18,Diffa,0
1997,18,Dosso,73
1997,18,Maradi,555
1997,18,Niamey,53
1997,18,Tahoua,318
1997,18,Tillaberi,216
1997,18,Zinder,263
1997,19,Agadez,17
1997,19,Diffa,1
1997,19,Dosso,58
1997,19,Maradi,630
1997,19,Niamey,31
1997,19,Tahoua,285
1997,19,Tillaberi,264
1997,19,Zinder,366
1997,20,Agadez,9
1997,20,Diffa,0
1997,20,Dosso,36
1997,20,Maradi,505
1997,20,Niamey,58
1997,20,Tahoua,341
1997,20,Tillaberi,314
1997,20,Zinder,417
1997,21,Agadez,3
1997,21,Diffa,0
1997,21,Dosso,59
1997,21,Maradi,517
1997,21,Niamey,30
1997,21,Tahoua,234
1997,21,Tillaberi,213
1997,21,Zinder,328
1997,22,Agadez,12
1997,22,Diffa,0
1997,22,Dosso,49
1997,22,Maradi,416
1997,22,Niamey,23
1997,22,Tahoua,251
1997,22,Tillaberi,174
1997,22,Zinder,252
1997,23,Agadez,0
1997,23,Diffa,0
1997,23,Dosso,24
1997,23,Maradi,369
1997,23,Niamey,22
1997,23,Tahoua,156
1997,23,Tillaberi,221
1997,23,Zinder,258
1997,24,Agadez,0
1997,24,Diffa,0
1997,24,Dosso,74
1997,24,Maradi,274
1997,24,Niamey,11
1997,24,Tahoua,184
1997,24,Tillaberi,190
1997,24,Zinder,239
1997,25,Agadez,2
1997,25,Diffa,0
1997,25,Dosso,59
1997,25,Maradi,259
1997,25,Niamey,5
1997,25,Tahoua,209
1997,25,Tillaberi,78
1997,25,Zinder,183
1997,26,Agadez,3
1997,26,Diffa,0
1997,26,Dosso,31
1997,26,Maradi,188
1997,26,Niamey,4
1997,26,Tahoua,98
1997,26,Tillaberi,130
1997,26,Zinder,151
1997,27,Agadez,4
1997,27,Diffa,0
1997,27,Dosso,7
1997,27,Maradi,132
1997,27,Niamey,10
1997,27,Tahoua,106
1997,27,Tillaberi,96
1997,27,Zinder,91
1997,28,Agadez,1
1997,28,Diffa,0
1997,28,Dosso,28
1997,28,Maradi,77
1997,28,Niamey,2
1997,28,Tahoua,93
1997,28,Tillaberi,61
1997,28,Zinder,112
1997,29,Agadez,0
1997,29,Diffa,0
1997,29,Dosso,16
1997,29,Maradi,57
1997,29,Niamey,2
1997,29,Tahoua,79
1997,29,Tillaberi,57
1997,29,Zinder,43
1997,30,Agadez,1
1997,30,Diffa,1
1997,30,Dosso,12
1997,30,Maradi,76
1997,30,Niamey,1
1997,30,Tahoua,69
1997,30,Tillaberi,46
1997,30,Zinder,57
1997,31,Agadez,0
1997,31,Diffa,0
1997,31,Dosso,10
1997,31,Maradi,30
1997,31,Niamey,2
1997,31,Tahoua,52
1997,31,Tillaberi,28
1997,31,Zinder,44
1997,32,Agadez,0
1997,32,Diffa,0
1997,32,Dosso,9
1997,32,Maradi,54
1997,32,Niamey,1
1997,32,Tahoua,54
1997,32,Tillaberi,36
1997,32,Zinder,22
1997,33,Agadez,0
1997,33,Diffa,0
1997,33,Dosso,3
1997,33,Maradi,23
1997,33,Niamey,4
1997,33,Tahoua,36
1997,33,Tillaberi,32
1997,33,Zinder,51
1997,34,Agadez,0
1997,34,Diffa,0
1997,34,Dosso,1
1997,34,Maradi,36
1997,34,Niamey,2
1997,34,Tahoua,18
1997,34,Tillaberi,19
1997,34,Zinder,34
1997,35,Agadez,0
1997,35,Diffa,0
1997,35,Dosso,4
1997,35,Maradi,27
1997,35,Niamey,1
1997,35,Tahoua,27
1997,35,Tillaberi,22
1997,35,Zinder,39
1997,36,Agadez,0
1997,36,Diffa,0
1997,36,Dosso,1
1997,36,Maradi,19
1997,36,Niamey,0
1997,36,Tahoua,17
1997,36,Tillaberi,26
1997,36,Zinder,20
1997,37,Agadez,0
1997,37,Diffa,0
1997,37,Dosso,8
1997,37,Maradi,13
